,tfidf
shd,0.0
shdair,0.0
shdal,0.0
shdar,0.0
shdy,0.0
she,0.15083662306461318
sheaiin,0.0
sheain,0.0
sheal,0.0
shear,0.08450298030552608
shechy,0.0
sheckhal,0.0
sheckhedy,0.0
sheckhey,0.0
sheckhy,0.0
shecphy,0.0
shecthy,0.0
shed,0.0
shedaiin,0.0
shedain,0.0
shedal,0.0
shedar,0.0
shedy,0.0
shedyqokeedy,0.0
shee,0.0
sheear,0.0
sheeckhy,0.0
sheed,0.0
sheedo,0.0
sheedy,0.0
sheeeky,0.0
sheees,0.0
sheeey,0.0
sheek,0.0
sheekar,0.0
sheekchy,0.0
sheeky,0.0
sheeo,0.0
sheeody,0.0
sheeol,0.0
sheeor,0.0
shees,0.0
sheet,0.0
sheetey,0.0
sheety,0.0
sheey,0.0
shefchdy,0.0
shek,0.0
shekaiin,0.0
shekain,0.0
shekal,0.0
shekchy,0.0
shekedy,0.0
shekeey,0.0
shekey,0.0
shekshey,0.0
sheky,0.07541831153230659
sheo,0.06434690192845104
sheockhey,0.0
sheockhy,0.0
sheocphy,0.0
sheocthy,0.0
sheod,0.0
sheodaiin,0.0
sheodal,0.0
sheodaly,0.0
sheody,0.0
sheokaiin,0.0
sheokeey,0.0
sheokey,0.0
sheoky,0.0
sheol,0.0
sheoldy,0.0
sheolol,0.0
sheols,0.0
sheoltey,0.0
sheom,0.0
sheor,0.0
sheos,0.0
sheot,0.0
sheoy,0.0
shepchy,0.0
sher,0.0
shes,0.0
shetchy,0.0
shetey,0.0
shety,0.0
shey,0.13044074036213527
sheyr,0.0
shkaiin,0.0
shkain,0.0
shkair,0.0
shkar,0.0
shkchedy,0.0
shkchy,0.0
shkeeo,0.0
shkeey,0.0
shkeody,0.0
shkol,0.0
shky,0.0
shl,0.0
shldy,0.0
sho,0.05116458753024016
shoaiin,0.11333024508296395
shocfhy,0.0
shockhy,0.0
shocthy,0.0
shod,0.09948433726038176
shodaiin,0.0
shodain,0.11333024508296395
shodal,0.0
shodol,0.0
shody,0.13775683183048124
shoiin,0.0
shoikhy,0.0
shok,0.0
shokaiin,0.0
shokal,0.0
shokar,0.0
shokchy,0.0
shokeey,0.0
shokey,0.0
shokol,0.0
shoky,0.0
shol,0.08647728915935607
sholdy,0.0
sholy,0.0
shom,0.0
shopchey,0.0
shopcho,0.0
shopchy,0.0
shor,0.0
shory,0.12536325794700154
shos,0.10903547689549722
shosaiin,0.0
shot,0.0
shotaiin,0.0
shoteeody,0.0
shotol,0.0
shoty,0.0
shr,0.0
shs,0.0
shsdy,0.0
shtal,0.0
shtchy,0.0
shtshy,0.0
shty,0.0
shy,0.0
shytchy,0.0
skaiin,0.0
so,0.0
soar,0.0
sody,0.0
soiiin,0.0
soiin,0.0
sokeey,0.0
sol,0.0
solkaiin,0.0
sols,0.0
solshedy,0.0
soly,0.0
sor,0.0
sos,0.0
sotey,0.0
sqokedy,0.0
sy,0.0
sychol,0.0
sydshedy,0.0
sykchy,0.0
sysaiin,0.0
syycheol,0.0
taiin,0.0
tain,0.0
tair,0.0
tal,0.0
tam,0.0
tar,0.0
tarodaiin,0.0
tarol,0.0
tchar,0.0
tchdy,0.0
tchedy,0.0
tcheey,0.0
tcheo,0.0
tcheody,0.0
tcheol,0.0
tcheor,0.0
tchey,0.08315655620887746
tcho,0.0
tchody,0.0
tchol,0.0
tchols,0.0
tchor,0.0
tchos,0.0
tchy,0.0
tedaiin,0.0
tedain,0.0
tedo,0.0
tedy,0.0
teedar,0.0
teedy,0.0
teeedy,0.0
teeody,0.0
teeol,0.0
teey,0.0
teodar,0.0
teody,0.0
teol,0.0
teor,0.0
tey,0.0
tod,0.0
todaiin,0.0
tody,0.0
tol,0.0
toly,0.0
tor,0.0
totol,0.0
tshdy,0.0
tshedy,0.0
tshey,0.0
tsho,0.0
tshol,0.0
tshor,0.0
tshy,0.0
ty,0.0
xar,0.0
ychdy,0.0
ychear,0.0
ychedy,0.0
ycheedy,0.0
ycheey,0.0
ycheo,0.0
ychey,0.0
ycho,0.0
ydaiin,0.0
ydain,0.0
ydal,0.0
ydy,0.0
yfchey,0.0
yfolaiin,0.0
yk,0.0
ykaiin,0.07637991479248862
ykain,0.0
ykair,0.0
ykal,0.09270769584399292
ykaly,0.0
ykar,0.0
ykchdy,0.0
ykchedy,0.0
ykchey,0.0
ykcho,0.0
ykchody,0.0
ykchol,0.0
ykchor,0.0
ykchs,0.0
ykchy,0.0
ykedy,0.0
ykeechy,0.0
ykeedy,0.0
ykeeedy,0.0
ykeeey,0.0
ykeeo,0.0
ykeeod,0.0
ykeeody,0.0
ykeeol,0.0
ykeeos,0.0
ykees,0.0
ykeeshy,0.0
ykeey,0.0
ykeo,0.0
ykeody,0.0
ykeol,0.0
ykeols,0.0
ykeor,0.0
ykeos,0.0
ykey,0.0
ykhey,0.0
ykoaiin,0.0
ykody,0.0
ykoiin,0.0
ykol,0.0
ykor,0.0
yky,0.0
yl,0.0
ylkaiin,0.0
yly,0.0
ypair,0.0
ypar,0.0
ypchdy,0.0
ypchedy,0.0
ypchey,0.0
ypchol,0.0
ypchor,0.0
ypchy,0.0
ysaiin,0.0
yshedy,0.0
yshey,0.0
ysho,0.0
ytaiin,0.0
ytain,0.0
ytair,0.0
ytal,0.0
ytaly,0.0
ytam,0.0
ytar,0.0
ytchdy,0.0
ytchedy,0.0
ytchey,0.0
ytchody,0.0
ytchol,0.0
ytchor,0.0
ytchy,0.0
ytedar,0.0
ytedy,0.0
yteedy,0.0
yteeey,0.0
yteeody,0.0
yteey,0.0
yteody,0.0
yteol,0.0
yteor,0.0
yteos,0.0
ytey,0.0
yto,0.0
ytody,0.0
ytoiin,0.0
ytol,0.0
ytoldy,0.0
ytor,0.0
ytshy,0.0
yty,0.0
